,State,VEP_Counted,VEP,Minor,Cast,VAP,Democrat,Republican,Year,Counted,Type,Treatment,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total,Footnotes,OtherRace,Treatment2
166,Hawaii,4.6,"1,025,208",,,"1,127,205","33,716",,2016,"47,093",Caucus,,287900,17600,139800,,512600,129600,275000,1364600,,,NA
76,Idaho,4.1,"1,091,171",,"44,672","1,165,366",,"44,672",2012,,Caucus,1,1305400,6100,180000,14500,18900,,36200,1562500,,,1
163,Idaho,21.9,"1,149,007",,,"1,234,566","23,884",,2016,"251,080",Caucus,1,1362500,8600,202200,18900,22700,,33300,1650700,,,1
207,Idaho,18,"1,271,285",906,,"1,361,774","108,646","118,968",2020,"228,520",Primary,1,1527262,11536,,22790,23758,2761,46592,1687809,,53110,1
57,Idaho ,17.7,"1,033,390",,"182,627","1,114,053","42,802","168,372",2008,,Primary,,,,,,,,,,,,1
19,Illinois,33.8,"8,832,544","2,672","2,986,982","9,699,779","2,038,614","899,422",2008,,Primary,,8094900,1775900,1931100,13500,549700,,189600,12556000,,,3
94,Illinois,17.9,"8,853,948",,"929,031","9,817,603","652,717","933,454",2012,,Primary,,7915300,1750100,2067800,12500,590500,,227400,12567900,,,3
158,Illinois,38.9,"9,015,796",,,"9,907,466","2,056,047","1,449,748",2016,"3,505,795",Primary,,7719800,1715800,2139000,12800,660100,3400,240300,12491200,,,3
51,Indiana,37.3,"4,623,736",,"1,725,951","4,792,223","1,278,355","412,684",2008,,Primary,,5143900,515100,314100,12900,82900,,101900,6172900,,,NA
110,Indiana,20.2,"4,748,647",,"957,510","4,945,762","221,446","635,589",2012,,Primary,,5142300,561600,399200,11500,101900,,119700,6338800,,,NA
176,Indiana,36,"4,855,984",,,"5,061,304","638,779","1,110,543",2016,"1,749,322",Primary,,5129200,582900,435200,13500,133600,,134200,6431400,,,NA
0,Iowa,16.1,"2,196,724",,"354,696","2,284,730","236,000","118,696",2008,,Caucus,,2609000,77500,118700,4300,43700,,39000,2894000,,,3
61,Iowa,6.5,"2,250,423",,"146,354","2,347,573","25,000","121,354",2012,,Caucus,,2622600,84300,156000,4200,53500,2500,52900,2976000,,,3
126,Iowa,15.7,"2,286,197",,,"2,403,229","171,109","186,874",2016,"357,983",Caucus,,2623500,98700,171300,9000,73600,,50100,3030400,,,3
189,Iowa,9.1,"2,305,858",,,"2,433,266","176,352","32,389",2020,"208,741",Caucus,,2827889,109911,,11549,75083,3129,65770,3132499,,39168,3
33,Kansas,2.9,"1,971,844",,"56,521","2,090,119",,"19,432",2008,,Caucus,,2172500,140800,259600,15900,56000,,55200,2701400,,,NA
87,Kansas,1.5,"2,041,139",,"29,857","2,170,270",,"29,857",2012,,Caucus,,2167400,152100,306900,23900,66700,,69500,2787500,,,NA
146,Kansas,5.5,"2,062,778",,,"2,199,237","40,000","73,116",2016,"113,116",Caucus,,2154300,157400,329400,17600,74800,,82200,2817000,,,NA
55,Kentucky,29.2,"3,156,075",,"922,456","3,267,951","701,768","197,793",2008,,Primary,,3649900,296600,95900,5100,40600,,54800,4143600,,,NA
117,Kentucky,12.8,"3,242,289",,"415,337","3,378,854","206,218","176,160",2012,,Primary,,3653900,322500,127100,5900,53900,,69600,4235100,,,NA
179,Kentucky,21,"3,265,260",,,"3,423,910","454,573",,2016,"684,240",Primary,,3652100,342700,144300,9300,60600,,77100,4287700,,,NA
34,Louisiana,17.7,"3,083,603",,"545,515","3,235,413","384,346","161,169",2008,,Primary,,2658000,1335400,146100,21300,62200,,50200,4273800,,,NA
