"","County","turnout_2020","turnout_2016","registered_voters","White","Black","Hispanic","pop18.25","pop18.30","pop65.85","pop18.85","delta"
"1","ADAMS",0.171738632664219,0.0941650973349138,0.657899177509204,0.880765833895385,0.0418677981431781,0.36479447595223,0.148034583970023,0.263339060290896,0.14440681855825,385195.8,0.0775735353293053
"2","ALAMOSA",0.178687646743832,0.187749721959056,0.756930427977098,0.898307039584792,0.0258269143633892,0.433191910038308,0.20669769740907,0.275083412283231,0.19130864604358,12138.5,-0.00906207521522429
"3","ARAPAHOE",0.208958912793975,0.134899032516445,0.790208766503099,0.797031177908352,0.118040571071976,0.168328531025369,0.135627809032782,0.23794097029234,0.175009114665467,504132.6,0.0740598802775302
"4","ARCHULETA",0.164893199137562,0.177812306322506,0.869595579570352,0.947337179968401,0.00903464590298449,0.159289099939769,0.0883125725608638,0.137588491519654,0.334735812987194,11455.9,-0.012919107184944
"5","BACA",0.0856661529087064,0.397505286927847,0.996809921502563,0.959460912577512,0.0150543030216137,0.0957023549231155,0.101939137603498,0.157711745940715,0.314885838202086,2789.9,-0.31183913401914
"6","BENT",0.101490786891901,0.185164302307224,0.632625904959517,0.859423983400618,0.0880263424975755,0.311824804348316,0.136922348271274,0.236067570310562,0.227812986310021,4433.9,-0.0836735154153229
"7","BOULDER",0.374293279896944,0.142634842139459,0.939924154399491,0.921174831190894,0.0142882140313237,0.113747792582778,0.194084852499754,0.283595925275485,0.182331819443856,266884.3,0.231658437757485
"8","BROOMFIELD",0.290245053627521,0.144489593675009,0.838256648962623,0.899095990639823,0.0177781876773343,0.114640466851483,0.128574037806001,0.237601291906955,0.182020720422582,55298.1,0.145755459952512
"9","CHAFFEE",0.246428195317162,0.199038157756169,0.817565907255941,0.952808883584325,0.021021284562549,0.0968453446601374,0.11367173330525,0.177449362867273,0.312306198148863,17092.2,0.0473900375609927
"10","CHEYENNE",0.0604075691411936,0.315138282387191,1.01237263464338,0.964192139737991,0.0160116448326055,0.1127365356623,0.100072780203785,0.159461426491994,0.277365356622999,1374,-0.254730713245997
"11","CLEAR CREEK",0.245827161723155,0.167286939420719,0.95244022354713,0.964115457860868,0.0134924882687544,0.0655331648846791,0.0853238072715052,0.138820776440423,0.258958688589886,8034.1,0.0785402223024359
"12","CONEJOS",0.21170384526673,0.29786813404066,0.9257306665788,0.930541368743616,0.0137236811756565,0.540363768163696,0.123282480477116,0.19770008896504,0.270947971926587,6069.8,-0.08616428877393
"13","COSTILLA",0.255620770390327,0.28288270951602,0.903813464190641,0.89768754610475,0.0225151544308669,0.605247121459957,0.0955130055486064,0.161583116841464,0.340549728984252,3117.9,-0.0272619391256936
"14","CROWLEY",0.0511552082747765,0.131729345850432,0.379635355182041,0.833754942192741,0.115408398448479,0.307961849082767,0.138793636516949,0.265332508853786,0.163959000880694,5336.7,-0.0805741375756554
"15","CUSTER",0.122842733539999,0.395826585851108,0.85573497432101,0.959260630176283,0.0228334798500902,0.0596631656873178,0.0995928376440105,0.149979179197705,0.38247813815759,4322.6,-0.272983852311109
"16","DELTA",0.136965629529615,0.190735261997895,0.841331930186843,0.964593054424875,0.0107300994777912,0.13110815479618,0.10145543355241,0.157750729702361,0.330929452177194,25181.5,-0.0537696324682803
"17","DENVER",0.304876877985189,0.129245108449359,0.752952755069288,0.832906747331437,0.100970638206983,0.257978755490351,0.119096932471971,0.258800152316946,0.148497297495691,588509.7,0.175631769535829
"18","DOLORES",0.109486818765674,0.284421065508594,1.01902257018778,0.949599363875466,0.00948070218361979,0.0576182029481925,0.10281974432687,0.151874732399535,0.340693620404918,1634.9,-0.17493424674292
"19","DOUGLAS",0.180850984819227,0.145364813879564,0.853023528712754,0.918167909450106,0.0185730518998247,0.0841652802947031,0.118949600427795,0.191389144707525,0.161152372181456,269288,0.0354861709396631
"20","EAGLE",0.212422300566688,0.0721801139782339,0.750787575411633,0.952679129080007,0.0187576784313008,0.255769261566549,0.129338528166259,0.235746429314964,0.156453542773867,43710.1,0.140242186588454
"21","EL PASO",0.141026199087861,0.156702050099707,0.782158852630427,0.865439930091569,0.0768488242929612,0.151333066574922,0.180172115635218,0.289141590981404,0.173814899653244,549061.1,-0.0156758510118455
"22","ELBERT",0.103820132321609,0.237543453070684,0.876163420924756,0.964373154412589,0.0129845250999888,0.066534594251112,0.119879078981796,0.19619762269652,0.214798340373042,21402.4,-0.133723320749075
"23","FREMONT",0.101862308173184,0.18575188045736,0.734109379096171,0.920206598237512,0.0476189275847466,0.133018411341225,0.113273609066527,0.19732702817157,0.265189860654581,39671.2,-0.0838895722841759
"24","GARFIELD",0.176562772070347,0.112724185965523,0.730323872540484,0.956679871147484,0.0132835625979453,0.239800626850078,0.12251871843984,0.210525857565732,0.177875239421905,45944,0.0638385861048233
"25","GILPIN",0.255003735598286,0.150996814910935,0.952577562817034,0.949628406275805,0.0179505328142818,0.0681451771460029,0.0889858833706893,0.137529000039322,0.21705792143447,5086.2,0.10400692068735
"26","GRAND",0.181726797241899,0.241805016727661,0.888372312186847,0.964510657012267,0.0124318720844393,0.0721488369170842,0.102792655535835,0.163145742692447,0.227873152496584,12733.4,-0.0600782194857618
"27","GUNNISON",0.268664445875206,0.113372337149735,0.855331299163004,0.95861209864793,0.00957366402597766,0.0788007726114828,0.181059821403578,0.241909973966352,0.168875794306189,14289.2,0.155292108725471
"28","HINSDALE",0.163540885221305,0.418604651162791,1.07726931732933,0.960240060015004,0.0105026256564141,0.0504126031507877,0.08192048012003,0.129182295573893,0.40225056264066,666.5,-0.255063765941485
"29","HUERFANO",0.235462378344438,0.268601527889211,0.841385565284125,0.918303275543308,0.0161160916733526,0.311909163846932,0.0819060243485541,0.140108835943768,0.380995569818956,5733.4,-0.0331391495447727
"30","JACKSON",0.0748894703600108,0.4466299738338,1.07371650275196,0.967878733194983,0.0054136966525309,0.0925742127582784,0.095822430749797,0.150681223495443,0.298836055219706,1108.3,-0.371740503473789
"31","JEFFERSON",0.255774961825989,0.150187817631186,0.879226431276837,0.936643009221849,0.0154547812507818,0.136531347165715,0.117433757051848,0.201986224640022,0.21223937590704,467661.1,0.105587144194803
"32","KIOWA",0.0643086816720257,0.401469912723932,0.92604501607717,0.972439136426275,0.00964630225080386,0.0662379421221865,0.11437758383096,0.169315571887919,0.309875976113918,1088.5,-0.337161231051906
"33","KIT CARSON",0.0786625227735505,0.319365555674633,1.03075768942236,0.966112956810631,0.0132676026149394,0.152716750616225,0.120565855749652,0.195177365770014,0.248504983388704,4665.5,-0.240703032901082
"34","LA PLATA",0.241527906905015,0.164925468493199,0.919802071812858,0.907367669673189,0.00851946014778521,0.109338579693414,0.157274037126957,0.222607523209856,0.225440733902913,45390.2,0.0766024384118158
"35","LAKE",0.215900802334063,0.197909068806224,0.852094983386012,0.945408866196612,0.0158845935651187,0.308452873004295,0.131145149525894,0.211038171650863,0.194586271172704,6169.5,0.0179917335278386
"36","LARIMER",0.238477157681889,0.138750154372081,0.847640825161435,0.947683785460279,0.0140629007736724,0.0976254319339629,0.178342239121738,0.270158354968881,0.204023068378652,284215.9,0.0997270033098078
"37","LAS ANIMAS",0.19012442341407,0.235825773178329,0.842368640533778,0.921541760991302,0.0242378853125904,0.385533863253391,0.0953856104576943,0.169384350904665,0.31480315228677,11750.2,-0.0457013497642593
"38","LINCOLN",0.0578431807100749,0.267940250875404,0.675945215194362,0.904281725100838,0.0684588449093569,0.134258233234342,0.117060413988742,0.204955454102212,0.227538672931164,4512.2,-0.21009707016533
"39","LOGAN",0.0723130597498633,0.217897341381895,0.716761637442722,0.92729240290154,0.0456254262412427,0.152629591428394,0.126133590346235,0.234535544996985,0.218077701312682,17742.3,-0.145584281632032
"40","MESA",0.132110821824675,0.169039372642126,0.909566977391539,0.956832562892397,0.0120913874760256,0.126149803971217,0.140451807501297,0.21576484109296,0.250697342903626,121640.3,-0.0369285508174511
"41","MINERAL",0.322160754962577,0.567849007484543,1.34559062805076,0.986169866579889,0.00260331923202083,0.0551578262284413,0.0647575658965181,0.106736088512854,0.436544093719492,614.6,-0.245688252521966
